tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,2018,2,262.32,30257,30977,"Albany, NY","Chicago, IL",19805,AA,3070,0.1031,282.19,200,0.1107,400,0.1173,0.013,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)",20182302573097719805AA
Table 5,2018,2,262.32,30257,30977,"Albany, NY","Chicago, IL",19977,UA,7270,0.244,254.95,175,0.0578,400,0.0605,0.0151,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)",20182302573097719977UA
Table 5,2018,2,138.8,30325,30466,"Denver, CO","Phoenix, AZ",19393,WN,83820,0.27,143.82,75,0.0638,200,0.0623,0.1074,"Denver, CO
(39.738453, -104.984853)","Phoenix, AZ
(30.406931, -87.217578)",20182303253046619393WN
Table 5,2018,2,138.8,30325,30466,"Denver, CO","Phoenix, AZ",19805,AA,32840,0.1058,124.83,75,0.0889,175,0.0749,0.067,"Denver, CO
(39.738453, -104.984853)","Phoenix, AZ
(30.406931, -87.217578)",20182303253046619805AA
Table 5,2018,2,312.48,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",19790,DL,11800,0.4799,322.81,200,0.0602,525,0.0542,0.0153,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Nashville, TN
(36.166687, -86.779932)",20182303973069319790DL
Table 5,2018,2,263.82,30397,30994,"Atlanta, GA (Metropolitan Area)","Charleston, SC",19790,DL,9580,0.475,267.51,150,0.0564,400,0.0866,0.0313,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charleston, SC
(32.77647, -79.931027)",20182303973099419790DL
Table 5,2018,2,265.45,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,DL,12870,0.4634,271.09,100,0.0505,400,0.0591,0.3893,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Louisville, KY
(38.256078, -85.751569)",20182303973304419790DL
Table 5,2018,2,291.19,30397,33244,"Atlanta, GA (Metropolitan Area)","Memphis, TN",19790,DL,15970,0.4558,306.63,125,0.052,500,0.0739,0.335,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Memphis, TN
(35.143378, -90.052136)",20182303973324419790DL
Table 5,2018,2,120.81,30431,32467,"Asheville, NC","Miami, FL (Metropolitan Area)",20368,G4,12030,0.4239,89.11,75,0.4356,150,0.0632,0.01,"Asheville, NC
(35.595889, -82.550039)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182304313246720368G4
Table 5,2018,2,77.53,30466,34314,"Phoenix, AZ","Provo, UT",20368,G4,10450,0.515,78.01,75,0.5742,125,0.1167,0,"Phoenix, AZ
(30.406931, -87.217578)","Provo, UT
(41.824461, -71.412747)",20182304663431420368G4
Table 5,2018,2,102.88,30529,31135,"Hartford, CT","Myrtle Beach, SC",20416,NK,7580,0.4062,85.63,75,0.533,150,0.062,0.004,"Hartford, CT
(41.765775, -72.673356)","Myrtle Beach, SC
(33.68785, -78.883852)",20182305293113520416NK
Table 5,2018,2,138.8,30559,31884,"Seattle, WA","Spokane, WA",19930,AS,43270,0.4392,140.87,75,0.0682,250,0.0834,0.1031,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",20182305593188419930AS
Table 5,2018,2,115.64,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",19393,WN,8170,0.3,93.66,75,0.4688,200,0.0526,0.0012,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Milwaukee, WI
(43.041072, -87.909421)",20182306473334219393WN
Table 5,2018,2,115.64,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",19977,UA,4190,0.1539,135.63,75,0.1217,200,0.0573,0.0907,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Milwaukee, WI
(43.041072, -87.909421)",20182306473334219977UA
Table 5,2018,2,323.97,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",19805,AA,13070,0.4484,326.55,175,0.0543,425,0.2242,0.0275,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Philadelphia, PA
(39.951061, -75.16562)",20182306473410019805AA
Table 5,2018,2,136.85,30713,30559,"Boise, ID","Seattle, WA",19790,DL,9650,0.1234,118.64,75,0.285,275,0.0539,0.0995,"Boise, ID
(43.597772, -83.884521)","Seattle, WA
(47.603229, -122.33028)",20182307133055919790DL
Table 5,2018,2,136.85,30713,30559,"Boise, ID","Seattle, WA",19930,AS,29950,0.3831,140.42,75,0.1165,275,0.0781,0.1476,"Boise, ID
(43.597772, -83.884521)","Seattle, WA
(47.603229, -122.33028)",20182307133055919930AS
Table 5,2018,2,104.91,30713,31884,"Boise, ID","Spokane, WA",19393,WN,9390,0.2405,98.36,75,0.4728,175,0.0522,0.0234,"Boise, ID
(43.597772, -83.884521)","Spokane, WA
(47.658999, -117.425022)",20182307133188419393WN
Table 5,2018,2,104.91,30713,31884,"Boise, ID","Spokane, WA",19930,AS,10030,0.2569,108.11,75,0.3819,225,0.0528,0.0269,"Boise, ID
(43.597772, -83.884521)","Spokane, WA
(47.658999, -117.425022)",20182307133188419930AS
Table 5,2018,2,128.96,30713,33192,"Boise, ID","Sacramento, CA",19393,WN,6920,0.2635,121.85,75,0.1691,225,0.0766,0.0448,"Boise, ID
(43.597772, -83.884521)","Sacramento, CA
(38.582087, -121.50012)",20182307133319219393WN
Table 5,2018,2,128.96,30713,33192,"Boise, ID","Sacramento, CA",19930,AS,5080,0.1935,124.69,75,0.1988,225,0.0728,0.0335,"Boise, ID
(43.597772, -83.884521)","Sacramento, CA
(38.582087, -121.50012)",20182307133319219930AS
Table 5,2018,2,130.63,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",19790,DL,6530,0.1852,131.71,75,0.1945,200,0.1256,0.0567,"Burlington, VT
(44.475949, -73.212481)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182307853170319790DL
Table 5,2018,2,130.63,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",19977,UA,3720,0.1055,139.4,75,0.0511,225,0.0753,0.0538,"Burlington, VT
(44.475949, -73.212481)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182307853170319977UA
Table 5,2018,2,130.63,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",20409,B6,6900,0.1957,125.42,75,0.2116,200,0.0826,0.058,"Burlington, VT
(44.475949, -73.212481)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182307853170320409B6
Table 5,2018,2,264.43,30977,31423,"Chicago, IL","Des Moines, IA",19805,AA,6000,0.263,277.56,175,0.155,350,0.1733,0.0483,"Chicago, IL
(41.775002, -87.696388)","Des Moines, IA
(41.588822, -93.620309)",20182309773142319805AA
Table 5,2018,2,264.43,30977,31423,"Chicago, IL","Des Moines, IA",19977,UA,5110,0.224,265.03,175,0.1389,350,0.1546,0.0176,"Chicago, IL
(41.775002, -87.696388)","Des Moines, IA
(41.588822, -93.620309)",20182309773142319977UA
Table 5,2018,2,287.25,30977,32070,"Chicago, IL","Harrisburg, PA",19805,AA,5580,0.2326,293.7,175,0.0735,450,0.0645,0.0394,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)",20182309773207019805AA
Table 5,2018,2,287.25,30977,32070,"Chicago, IL","Harrisburg, PA",19977,UA,6220,0.2593,286.21,175,0.0707,375,0.0627,0.0418,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)",20182309773207019977UA
Table 5,2018,2,262.2,30977,34524,"Chicago, IL","Richmond, VA",19805,AA,9520,0.2523,268.39,175,0.1145,375,0.0756,0.0347,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20182309773452419805AA
Table 5,2018,2,262.2,30977,34524,"Chicago, IL","Richmond, VA",19977,UA,7390,0.1958,258.43,175,0.1461,350,0.0663,0.0298,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20182309773452419977UA
Table 5,2018,2,283.9,30977,34653,"Chicago, IL","Tulsa, OK",19805,AA,4480,0.2268,304.34,200,0.1964,400,0.1049,0.0357,"Chicago, IL
(41.775002, -87.696388)","Tulsa, OK
(61.096484, -160.967455)",20182309773465319805AA
Table 5,2018,2,283.9,30977,34653,"Chicago, IL","Tulsa, OK",19977,UA,3830,0.1939,288.63,200,0.1253,400,0.1018,0.0261,"Chicago, IL
(41.775002, -87.696388)","Tulsa, OK
(61.096484, -160.967455)",20182309773465319977UA
Table 5,2018,2,275.81,30977,35096,"Chicago, IL","Syracuse, NY",19805,AA,5690,0.2491,310.84,175,0.0598,375,0.2531,0.0527,"Chicago, IL
(41.775002, -87.696388)","Syracuse, NY
(43.047945, -76.147448)",20182309773509619805AA
Table 5,2018,2,275.81,30977,35096,"Chicago, IL","Syracuse, NY",19977,UA,5570,0.2439,251.84,175,0.1436,375,0.1257,0.0144,"Chicago, IL
(41.775002, -87.696388)","Syracuse, NY
(43.047945, -76.147448)",20182309773509619977UA
Table 5,2018,2,281.39,31057,30198,"Charlotte, NC","Pittsburgh, PA",19805,AA,14400,0.4819,296.85,175,0.0576,425,0.0569,0.0493,"Charlotte, NC
(35.222936, -80.840161)","Pittsburgh, PA
(40.442169, -79.994945)",20182310573019819805AA
Table 5,2018,2,288.87,31057,30529,"Charlotte, NC","Hartford, CT",19805,AA,16130,0.4559,300.48,175,0.0787,400,0.0589,0.0707,"Charlotte, NC
(35.222936, -80.840161)","Hartford, CT
(41.765775, -72.673356)",20182310573052919805AA
Table 5,2018,2,262.76,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",19805,AA,16790,0.4416,276.33,175,0.0721,375,0.0989,0.0405,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",20182310573064719805AA
Table 5,2018,2,283.38,31057,31066,"Charlotte, NC","Columbus, OH",19805,AA,8820,0.4498,295.96,175,0.0692,425,0.0635,0.0408,"Charlotte, NC
(35.222936, -80.840161)","Columbus, OH
(39.962649, -82.996216)",20182310573106619805AA
Table 5,2018,2,291.22,31057,31123,"Charlotte, NC","St. Louis, MO",19805,AA,13090,0.4388,297.78,175,0.0649,400,0.0565,0.0634,"Charlotte, NC
(35.222936, -80.840161)","St. Louis, MO
(38.630276, -90.200309)",20182310573112319805AA
Table 5,2018,2,264.39,31057,31295,"Charlotte, NC","Detroit, MI",19790,DL,11380,0.2424,269.5,175,0.094,375,0.051,0.0062,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)",20182310573129519790DL
Table 5,2018,2,264.39,31057,31295,"Charlotte, NC","Detroit, MI",19805,AA,11960,0.2547,259.5,175,0.1597,325,0.1338,0.0276,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)",20182310573129519805AA
Table 5,2018,2,272.94,31057,32337,"Charlotte, NC","Indianapolis, IN",19805,AA,12610,0.4317,290.46,175,0.0666,425,0.065,0.0389,"Charlotte, NC
(35.222936, -80.840161)","Indianapolis, IN
(39.76845, -86.156212)",20182310573233719805AA
Table 5,2018,2,265.36,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",19805,AA,33830,0.4689,268.77,175,0.1144,450,0.0562,0.0331,"Charlotte, NC
(35.222936, -80.840161)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182310573246719805AA
Table 5,2018,2,290.34,31057,33195,"Charlotte, NC","Tampa, FL (Metropolitan Area)",19805,AA,20510,0.4876,294.63,150,0.0668,400,0.0634,0.1477,"Charlotte, NC
(35.222936, -80.840161)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",20182310573319519805AA
Table 5,2018,2,284.79,31057,33244,"Charlotte, NC","Memphis, TN",19805,AA,10180,0.4584,288.99,175,0.0914,425,0.0511,0.0354,"Charlotte, NC
(35.222936, -80.840161)","Memphis, TN
(35.143378, -90.052136)",20182310573324419805AA
Table 5,2018,2,273.25,31057,33342,"Charlotte, NC","Milwaukee, WI",19790,DL,2010,0.1031,236.37,175,0.204,350,0.0846,0.0149,"Charlotte, NC
(35.222936, -80.840161)","Milwaukee, WI
(43.041072, -87.909421)",20182310573334219790DL
Table 5,2018,2,273.25,31057,33342,"Charlotte, NC","Milwaukee, WI",19805,AA,7610,0.3905,286.47,175,0.0788,350,0.0618,0.0407,"Charlotte, NC
(35.222936, -80.840161)","Milwaukee, WI
(43.041072, -87.909421)",20182310573334219805AA
Table 5,2018,2,269.75,31057,33495,"Charlotte, NC","New Orleans, LA",19805,AA,11770,0.4198,281.76,175,0.0688,325,0.0671,0.0425,"Charlotte, NC
(35.222936, -80.840161)","New Orleans, LA
(29.950621, -90.074948)",20182310573349519805AA
Table 5,2018,2,295.43,31057,34027,"Charlotte, NC","West Palm Beach/Palm Beach, FL",19805,AA,8450,0.4473,303.93,175,0.084,500,0.0604,0.0497,"Charlotte, NC
(35.222936, -80.840161)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)",20182310573402719805AA
Table 5,2018,2,263.08,31057,34100,"Charlotte, NC","Philadelphia, PA",19805,AA,31650,0.4297,294.28,150,0.0585,475,0.0679,0.219,"Charlotte, NC
(35.222936, -80.840161)","Philadelphia, PA
(39.951061, -75.16562)",20182310573410019805AA
Table 5,2018,2,298.85,31066,34100,"Columbus, OH","Philadelphia, PA",19805,AA,13050,0.4571,304.78,175,0.0613,425,0.0789,0.0529,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)",20182310663410019805AA
Table 5,2018,2,121.55,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",19977,UA,9190,0.1494,151.85,75,0.0588,200,0.0609,0.1077,"Myrtle Beach, SC
(33.68785, -78.883852)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182311353170319977UA
Table 5,2018,2,121.55,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",20416,NK,14930,0.2428,85.1,75,0.5097,175,0.0576,0,"Myrtle Beach, SC
(33.68785, -78.883852)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182311353170320416NK
Table 5,2018,2,133.27,31136,32467,"Jacksonville, FL","Miami, FL (Metropolitan Area)",19393,WN,7910,0.1329,97.68,75,0.4665,200,0.0607,0,"Jacksonville, FL
(30.325968, -81.65676)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182311363246719393WN
Table 5,2018,2,133.27,31136,32467,"Jacksonville, FL","Miami, FL (Metropolitan Area)",19805,AA,10810,0.1817,166.83,100,0.0796,225,0.1369,0.0324,"Jacksonville, FL
(30.325968, -81.65676)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182311363246719805AA
Table 5,2018,2,133.27,31136,32467,"Jacksonville, FL","Miami, FL (Metropolitan Area)",20409,B6,10690,0.1797,117.75,75,0.2376,225,0.0748,0.0253,"Jacksonville, FL
(30.325968, -81.65676)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182311363246720409B6
Table 5,2018,2,261.02,31295,33342,"Detroit, MI","Milwaukee, WI",19790,DL,9650,0.4876,262.78,125,0.0756,400,0.0715,0.1378,"Detroit, MI
(42.332916, -83.047853)","Milwaukee, WI
(43.041072, -87.909421)",20182312953334219790DL
Table 5,2018,2,315.01,31453,33158,"Houston, TX","Midland/Odessa, TX",19393,WN,17470,0.2547,271.13,150,0.1385,400,0.0761,0.0006,"Houston, TX
(29.760803, -95.369506)","Midland/Odessa, TX
(31.997433, -102.078043)",20182314533315819393WN
Table 5,2018,2,315.01,31453,33158,"Houston, TX","Midland/Odessa, TX",19977,UA,15600,0.2275,358.42,150,0.0686,500,0.0506,0.2122,"Houston, TX
(29.760803, -95.369506)","Midland/Odessa, TX
(31.997433, -102.078043)",20182314533315819977UA
Table 5,2018,2,108.24,31638,32211,"Fresno, CA","Las Vegas, NV",20368,G4,8050,0.4389,88.68,75,0.4,150,0.0832,0,"Fresno, CA
(36.731654, -119.785856)","Las Vegas, NV
(36.169202, -115.140597)",20182316383221120368G4
Table 5,2018,2,274.81,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",19790,DL,10460,0.3787,283.93,150,0.1109,325,0.0583,0.1463,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)",20182316503019819790DL
Table 5,2018,2,261.88,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19790,DL,25120,0.2061,251.68,100,0.0908,375,0.08,0.3639,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20182317033019819790DL
Table 5,2018,2,261.88,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19805,AA,13990,0.1148,268.29,125,0.0686,375,0.0944,0.0965,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20182317033019819805AA
Table 5,2018,2,261.88,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19977,UA,19220,0.1577,281.86,125,0.0562,375,0.0687,0.1592,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20182317033019819977UA
Table 5,2018,2,132.81,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",19393,WN,164430,0.2629,138.62,75,0.1328,325,0.0752,0.1273,"Las Vegas, NV
(36.169202, -115.140597)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20182322113245719393WN
Table 5,2018,2,125.6,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",19393,WN,147250,0.2376,144.34,75,0.1071,275,0.0826,0.1921,"Las Vegas, NV
(36.169202, -115.140597)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",20182322113257519393WN
Table 5,2018,2,133.45,32211,33570,"Las Vegas, NV","San Diego, CA",19393,WN,49460,0.3872,141.63,75,0.1342,275,0.074,0.1278,"Las Vegas, NV
(36.169202, -115.140597)","San Diego, CA
(32.71576, -117.163817)",20182322113357019393WN
Table 5,2018,2,136.73,32211,34614,"Las Vegas, NV","Salt Lake City, UT",19393,WN,21720,0.2143,119.74,75,0.3444,275,0.0893,0.1096,"Las Vegas, NV
(36.169202, -115.140597)","Salt Lake City, UT
(40.758478, -111.888142)",20182322113461419393WN
Table 5,2018,2,136.73,32211,34614,"Las Vegas, NV","Salt Lake City, UT",19790,DL,26470,0.2612,153.12,75,0.1273,275,0.0642,0.1443,"Las Vegas, NV
(36.169202, -115.140597)","Salt Lake City, UT
(40.758478, -111.888142)",20182322113461419790DL
Table 5,2018,2,92.27,32211,34716,"Las Vegas, NV","Stockton, CA",20368,G4,10930,0.4935,93.98,75,0.3925,150,0.1116,0,"Las Vegas, NV
(36.169202, -115.140597)","Stockton, CA
(37.957541, -121.292451)",20182322113471620368G4
Table 5,2018,2,290.54,32337,34100,"Indianapolis, IN","Philadelphia, PA",19805,AA,14860,0.3837,323.07,225,0.0888,400,0.2147,0.0336,"Indianapolis, IN
(39.76845, -86.156212)","Philadelphia, PA
(39.951061, -75.16562)",20182323373410019805AA
Table 5,2018,2,119.7,32467,31454,"Miami, FL (Metropolitan Area)","Orlando, FL",19393,WN,7490,0.1109,106.79,75,0.3498,200,0.0975,0,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Orlando, FL
(28.538331, -81.378879)",20182324673145419393WN
Table 5,2018,2,119.7,32467,31454,"Miami, FL (Metropolitan Area)","Orlando, FL",19805,AA,19270,0.2853,139.4,75,0.1609,175,0.2143,0.0706,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Orlando, FL
(28.538331, -81.378879)",20182324673145419805AA
Table 5,2018,2,89.84,32544,32467,"Concord, NC","Miami, FL (Metropolitan Area)",20368,G4,11360,0.5024,89.7,75,0.4164,150,0.0669,0.0088,"Concord, NC
(43.208452, -71.536941)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20182325443246720368G4
Table 5,2018,3,269.22,30257,30977,"Albany, NY","Chicago, IL",19977,UA,8280,0.2428,263.52,200,0.1812,400,0.0556,0.0097,,,20183302573097719977UA
Table 5,2018,2,123.33,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",19393,WN,617950,0.2745,130.42,75,0.2142,225,0.0568,0.0871,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20182325753245719393WN
Table 5,2018,2,136.12,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",19393,WN,249710,0.4139,138.93,75,0.2164,275,0.053,0.1522,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Sacramento, CA
(38.582087, -121.50012)",20182325753319219393WN
Table 5,2018,2,285.54,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,DL,9420,0.1931,305.11,175,0.0658,350,0.0658,0.0563,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182330443170319790DL
Table 5,2018,2,285.54,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19805,AA,6480,0.1328,264.42,175,0.1327,325,0.071,0.0309,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182330443170319805AA
Table 5,2018,2,285.54,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19977,UA,6320,0.1295,291.61,175,0.0965,475,0.057,0.057,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20182330443170319977UA
Table 5,2018,2,81.18,33105,34761,"Cincinnati, OH","Sanford, FL",20368,G4,11380,0.5149,80.78,75,0.5097,125,0.1415,0.0009,"Cincinnati, OH
(39.104427, -84.513808)","Sanford, FL
(37.78008, -122.420168)",20182331053476120368G4
Table 5,2018,1,118.63,33342,30693,"Milwaukee, WI","Nashville, TN",19393,WN,11360,0.3905,107.33,75,0.3794,200,0.1153,0.0088,"Milwaukee, WI
(43.041072, -87.909421)","Nashville, TN
(36.166687, -86.779932)",20181333423069319393WN
Table 5,2018,1,284.63,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",19790,DL,5510,0.3408,290,150,0.0563,350,0.0508,0.1107,"Madison, WI
(43.073926, -89.385244)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20181334853085219790DL
Table 5,2018,1,139.67,33495,33195,"New Orleans, LA","Tampa, FL (Metropolitan Area)",19393,WN,23460,0.4293,141.51,75,0.2191,325,0.0665,0.1901,"New Orleans, LA
(29.950621, -90.074948)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",20181334953319519393WN
Table 5,2018,1,127.81,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",19393,WN,211990,0.3497,127.44,75,0.2526,250,0.0582,0.0799,"San Diego, CA
(32.71576, -117.163817)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181335703245719393WN
Table 5,2018,1,123.56,34057,32457,"Portland, OR","San Francisco, CA (Metropolitan Area)",19393,WN,59940,0.1805,116.21,75,0.3939,175,0.0597,0.0844,"Portland, OR
(45.516018, -122.681425)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181340573245719393WN
Table 5,2018,1,123.56,34057,32457,"Portland, OR","San Francisco, CA (Metropolitan Area)",19930,AS,79170,0.2384,119.81,75,0.3568,200,0.0777,0.0753,"Portland, OR
(45.516018, -122.681425)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181340573245719930AS
Table 5,2018,1,137.83,34057,33192,"Portland, OR","Sacramento, CA",19393,WN,25790,0.3242,140.27,75,0.2098,300,0.0659,0.1857,"Portland, OR
(45.516018, -122.681425)","Sacramento, CA
(38.582087, -121.50012)",20181340573319219393WN
Table 5,2018,1,137.83,34057,33192,"Portland, OR","Sacramento, CA",19930,AS,13440,0.169,132.97,75,0.2485,275,0.0826,0.151,"Portland, OR
(45.516018, -122.681425)","Sacramento, CA
(38.582087, -121.50012)",20181340573319219930AS
Table 5,2018,1,310.34,34100,30198,"Philadelphia, PA","Pittsburgh, PA",19805,AA,14060,0.4896,317.11,150,0.0548,450,0.0789,0.042,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)",20181341003019819805AA
Table 5,2018,1,136.84,34489,30559,"Bend/Redmond, OR","Seattle, WA",19930,AS,7420,0.4404,134.99,75,0.155,250,0.0593,0.0916,"Bend/Redmond, OR
(29.721576, -99.071062)","Seattle, WA
(47.603229, -122.33028)",20181344893055919930AS
Table 5,2018,1,130.31,34570,32457,"Reno, NV","San Francisco, CA (Metropolitan Area)",19393,WN,16390,0.3139,111.65,75,0.2855,175,0.2172,0.0006,"Reno, NV
(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181345703245719393WN
Table 5,2018,1,130.31,34570,32457,"Reno, NV","San Francisco, CA (Metropolitan Area)",19930,AS,6800,0.1302,110.31,75,0.2191,175,0.0912,0.0368,"Reno, NV
(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181345703245719930AS
Table 5,2018,1,267.1,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19805,AA,5610,0.3703,253.32,125,0.0766,325,0.0517,0.1266,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20181354123085219805AA
Table 5,2018,2,129,33192,33570,"Sacramento, CA","San Diego, CA",19393,WN,89670,0.4213,131.39,75,0.1313,225,0.0772,0.0497,"Sacramento, CA
(38.582087, -121.50012)","San Diego, CA
(32.71576, -117.163817)",20182331923357019393WN
Table 5,2018,2,132.07,33264,30559,"Medford, OR","Seattle, WA",19930,AS,7580,0.4111,138.47,75,0.1741,225,0.0501,0.095,"Medford, OR
(42.064492, -87.93678)","Seattle, WA
(47.603229, -122.33028)",20182332643055919930AS
Table 5,2018,2,135,33342,30693,"Milwaukee, WI","Nashville, TN",19393,WN,15150,0.4198,119.98,75,0.2488,200,0.1762,0.0099,"Milwaukee, WI
(43.041072, -87.909421)","Nashville, TN
(36.166687, -86.779932)",20182333423069319393WN
Table 5,2018,2,260.39,33342,34100,"Milwaukee, WI","Philadelphia, PA",19805,AA,8610,0.3501,293.08,225,0.2671,350,0.0825,0.0151,"Milwaukee, WI
(43.041072, -87.909421)","Philadelphia, PA
(39.951061, -75.16562)",20182333423410019805AA
Table 5,2018,2,282.03,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",19790,DL,7940,0.33,291.65,200,0.0806,400,0.0504,0.0088,"Madison, WI
(43.073926, -89.385244)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20182334853085219790DL
Table 5,2018,2,282.03,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",19977,UA,2440,0.1014,268.89,175,0.0779,300,0.082,0.0328,"Madison, WI
(43.073926, -89.385244)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20182334853085219977UA
